$\psi$
x	y	z	$\psi$
5.07790839309943	1.43336577284519	-3.30489174718132	-307.66401519578
-3.69586776217708	2.82627843039582	4.55938536667755	-320.818228121631
3.49064211104535	-7.08268748892692	1.31853297958309	-312.454953582982
0.16188626246584	-4.1065614995676	-0.36730348604855	-315.895556417988
-0.687176307071643	7.52867056469212	-1.90872683401852	-317.07885987722
5.98223782132097	0.776707568633074	-4.18558161180819	-306.490274935654
3.63057864408226	-0.97800853618961	-7.65836899501414	-312.648470458197
7.17779608702306	0.783712176777749	1.15657183200984	-298.326642263287
-2.8349672367873	-0.747076546890471	-8.93849040016437	-318.532773108232
3.54023127436284	2.86691584792261	-4.36585638336929	-311.809546507876
1.18454925686449	0.730396283105591	-8.80106174027638	-315.26931580478
-5.43722694971589	6.36987846302553	-1.79070608636	-322.781688730234
-0.68727138851388	5.82974413589549	-3.99687545526655	-317.262402193449
5.47284269782521	0.67760839864806	-5.56118724350323	-308.855132964505
1.62345540840109	-2.2116298056822	8.70619243291168	-314.843685317823
1.99679341481765	5.01892817221502	0.961005005873314	-313.813751877476
-3.23231152328421	3.50355687984127	-0.020629458531212	-321.424613569757
-1.44836324082518	-1.49300657874707	3.03025662818636	-318.236130239158
-4.14525554156745	-1.39980090143345	-1.62161404260389	-323.42204060457
-0.985216437171104	-7.2512032335647	4.97157820711554	-316.74761418904
-3.09766060626057	-0.627405273368897	-7.55278600807511	-319.419190630426
2.93435468946024	3.03440869376932	-2.35275784211961	-311.975834970358
-1.1222882191155	2.05600264273566	6.09508856474138	-317.389546012135
-5.86815641625005	-1.69310714614692	-4.53605529244611	-324.795273097867
6.15084711116746	0.751109910207355	-4.77158416171524	-306.975370001811
-2.78623235549465	-0.577147868928829	-8.49596467810951	-318.67394741856
-6.00668987842726	-4.21764673572164	-5.83154549832423	-322.846312010473
-2.68939624349071	3.98745884140846	-5.55165633591253	-319.271596672175
-2.88541046884277	3.96812109356969	-6.03116194577726	-319.444917068579
7.17633829176484	0.721610967035842	1.65877256830479	-299.129987326451
0.204382113844938	0.417885269759407	9.23976164003101	-316.017737394734
-2.9099626745443	-2.4781057499968	-4.79234123123567	-320.035093040058
3.60664672199387	-5.56045268675139	-1.22979425586174	-311.43122197914
3.80537590463545	-5.53341755691488	-4.56899567848025	-311.956044954509
-3.78974093374474	-0.119437489029958	-6.51443692652161	-320.745339657603
4.00234351055052	-5.2306985355004	-1.18041550011096	-310.953404528771
-5.52230838744911	-1.55402459271482	-4.28323669882783	-324.609475209785
-2.85885557596054	-1.32198987255711	-7.15822677924311	-319.224986869534
6.27093757592881	0.31162166158872	-4.94789731486988	-306.932645448664
3.62411627071302	-4.85922660217895	-0.965553500437715	-311.071902555087
-1.23079519237473	-1.6686114055652	3.49292054476584	-317.949270654101
-0.744053677785207	7.19862056986862	-2.28244452564748	-317.126843085918
2.23790925214361	5.39300521180992	0.691308667867833	-313.689521541723
-1.46945942224493	-5.10241258483525	3.26946693492413	-317.702844848749
-3.95476442300281	-0.379364368348721	-6.86521754054156	-320.597346289909
1.21999881628507	-5.00733943323951	5.43687069386792	-314.834340357814
2.17140512851742	-3.30771239205812	-8.43857559319473	-314.219472025684
-5.04031472900369	-4.62241513488499	-3.27654711711533	-322.574987293047
1.22888329904088	-1.93032715131316	8.18796843640429	-314.98929963109
7.68047311096696	-3.30791852901535	2.95059721076069	-303.892810168509
-3.79416637499648	-1.74295154321589	-1.48142257686352	-322.594695918629
-3.38054997134533	-1.0348166375485	-7.36208153613679	-319.644483560312
5.55125727648407	1.59629230022056	-3.61660250357989	-307.48289190524
-3.50290946332953	3.33148710972611	-0.439695784216314	-321.908418805545
-3.78839331032732	4.2857981051706	-3.7608848243707	-321.336828126422
-4.00328766502378	-5.15983205701088	-6.2133172985131	-320.051223816146
8.01129468536879	3.73428473558954	-0.488108387201443	-301.951170727313
5.54625267357923	7.29302539274233	0.777990294475081	-310.919611498345
-5.64592250952672	4.57325802355788	5.65315948434958	-322.23197878583
5.73804873452084	4.20526661857255	-5.3353947838731	-310.014082731284
0.181189771204055	-3.53261753044794	-0.2408971971206	-315.879229504215
-3.35690811126141	4.42189582528836	-3.62993834742393	-320.81632672926
0.702450248018242	3.19773021685454	-3.12450873112607	-315.27735398248
1.4741546546917	-1.14061230326837	7.57666507886124	-314.708457067639
-5.71601961796547	5.45719711939539	-0.347392106971259	-324.41504679821
3.88162828792704	-4.07583716762548	1.90676769928462	-310.430105392395
4.18402246222352	-0.481131838059238	-0.10350988909702	-308.176630367791
4.96540631591439	7.36092640149764	1.4250959239782	-311.561795914734
-2.29544649447414	-8.4321323929357	-1.58544863886574	-318.235233919985
-3.63837389304688	-2.72884587351204	-4.57566113671508	-320.9509613504
-3.36166918654815	-0.410512780893139	-6.86829267606558	-320.066671175704
-7.95431283081943	-3.33767768429667	-2.38884851617982	-329.869811949131
-3.44715056876611	-0.953093877841202	-6.79173757950557	-320.027572021951
3.83690088325406	-5.07442787130587	-4.51361462864324	-311.910715400893
-3.8630940283927	-1.20136729310765	-1.22596047707952	-322.929718488389
-3.52097528672201	3.09026396885312	4.07823024785474	-320.769568042953
