$\Phi$
x	y	$\Phi$
0.125	0.00785398163397448	5520633635590.3
0.375	0.00785398163397448	10134636066.5838
0.625	0.00785398163397448	3430337971.11068
0.875	0.00785398163397448	-115313813.199245
1.125	0.00785398163397448	-170258370.759349
1.375	0.00785398163397448	-156072915.984656
1.625	0.00785398163397448	-158119658.940581
1.875	0.00785398163397448	-159724468.426138
2.125	0.00785398163397448	-157370990.568301
2.375	0.00785398163397448	-151458571.795082
2.625	0.00785398163397448	-143038603.190144
2.875	0.00785398163397448	-133098629.123791
3.125	0.00785398163397448	-122423344.482714
3.375	0.00785398163397448	-111589856.225407
3.625	0.00785398163397448	-100997663.908508
3.875	0.00785398163397448	-90905877.2643693
4.125	0.00785398163397448	-81468228.6186333
4.375	0.00785398163397448	-72762574.4234479
4.625	0.00785398163397448	-64814211.980192
4.875	0.00785398163397448	-57613509.4828595
5.125	0.00785398163397448	-51128788.5289368
5.375	0.00785398163397448	-45315468.9798511
5.625	0.00785398163397448	-40122387.0356404
5.875	0.00785398163397448	-35496038.1723714
6.125	0.00785398163397448	-31383332.4859816
6.375	0.00785398163397448	-27733305.2147617
6.625	0.00785398163397448	-24498107.3972455
6.875	0.00785398163397448	-21633510.3597572
7.125	0.00785398163397448	-19099089.3350508
7.375	0.00785398163397448	-16858201.4554781
7.625	0.00785398163397448	-14877837.368974
7.875	0.00785398163397448	-13128400.2016063
8.125	0.00785398163397448	-11583447.6994404
8.375	0.00785398163397448	-10219420.9705574
8.625	0.00785398163397448	-9015374.7219248
8.875	0.00785398163397448	-7952718.08901074
9.125	0.00785398163397448	-7014971.26068681
9.375	0.00785398163397448	-6187540.52161643
9.625	0.00785398163397448	-5457512.6569244
9.875	0.00785398163397448	-4813468.60191123
10.125	0.00785398163397448	-4245315.57338295
10.375	0.00785398163397448	-3744136.55107904
10.625	0.00785398163397448	-3302055.79312954
10.875	0.00785398163397448	-2912119.00387331
11.125	0.00785398163397448	-2568186.78189083
11.375	0.00785398163397448	-2264840.03122448
11.625	0.00785398163397448	-1997296.09978145
11.875	0.00785398163397448	-1761334.50286639
12.125	0.00785398163397448	-1553231.18827767
12.375	0.00785398163397448	-1369700.39712862
12.625	0.00785398163397448	-1207843.26831427
12.875	0.00785398163397448	-1065102.42251421
13.125	0.00785398163397448	-939221.842898004
13.375	0.00785398163397448	-828211.443966871
13.625	0.00785398163397448	-730315.787282006
13.875	0.00785398163397448	-643986.463480024
14.125	0.00785398163397448	-567857.714372565
14.375	0.00785398163397448	-500724.917544677
14.625	0.00785398163397448	-441525.599203956
14.875	0.00785398163397448	-389322.67958239
15.125	0.00785398163397448	-343289.689429059
15.375	0.00785398163397448	-302697.726498237
15.625	0.00785398163397448	-266903.947844188
15.875	0.00785398163397448	-235341.417556514
16.125	0.00785398163397448	-207510.150648101
16.375	0.00785398163397448	-182969.21244814
16.625	0.00785398163397448	-161329.74933071
16.875	0.00785398163397448	-142248.841170672
17.125	0.00785398163397448	-125424.078782743
17.375	0.00785398163397448	-110588.780961739
17.625	0.00785398163397448	-97507.7757756503
17.875	0.00785398163397448	-85973.6796222449
18.125	0.00785398163397448	-75803.6153809187
18.375	0.00785398163397448	-66836.3178952249
18.625	0.00785398163397448	-58929.5811150196
18.875	0.00785398163397448	-51958.0066050264
19.125	0.00785398163397448	-45811.0178726051
19.375	0.00785398163397448	-40391.1091555214
19.625	0.00785398163397448	-35612.3010060103
19.875	0.00785398163397448	-31398.7782681104
20.125	0.00785398163397448	-27683.6889221754
20.375	0.00785398163397448	-24408.0848087036
20.625	0.00785398163397448	-21519.9874829296
20.875	0.00785398163397448	-18973.5644271732
21.125	0.00785398163397448	-16728.4025907166
21.375	0.00785398163397448	-14748.867764375
21.625	0.00785398163397448	-13003.5396531182
21.875	0.00785398163397448	-11464.7137063923
22.125	0.00785398163397448	-10107.961821038
22.375	0.00785398163397448	-8911.74496249045
22.625	0.00785398163397448	-7857.07157095327
22.875	0.00785398163397448	-6927.19634339148
23.125	0.00785398163397448	-6107.35462090308
23.375	0.00785398163397448	-5384.528174375
23.625	0.00785398163397448	-4747.23867819384
23.875	0.00785398163397448	-4185.365600001
24.125	0.00785398163397448	-3689.98562097595
24.375	0.00785398163397448	-3253.23104199531
24.625	0.00785398163397448	-2868.16493163888
24.875	0.00785398163397448	-2528.6710371378
25.125	0.00785398163397448	-2229.35671317811
25.375	0.00785398163397448	-1965.4673296774
25.625	0.00785398163397448	-1732.81080150167
25.875	0.00785398163397448	-1527.6910434608
26.125	0.00785398163397448	-1346.8492953472
26.375	0.00785398163397448	-1187.41238650159
26.625	0.00785398163397448	-1046.84711937464
26.875	0.00785398163397448	-922.920048542513
27.125	0.00785398163397448	-813.662017164618
27.375	0.00785398163397448	-717.336888294013
27.625	0.00785398163397448	-632.413974961407
27.875	0.00785398163397448	-557.543731603075
28.125	0.00785398163397448	-491.536321121264
28.375	0.00785398163397448	-433.34271747083
28.625	0.00785398163397448	-382.038043880863
28.875	0.00785398163397448	-336.80688228096
29.125	0.00785398163397448	-296.930320771262
29.375	0.00785398163397448	-261.774533547878
29.625	0.00785398163397448	-230.780712008323
29.875	0.00785398163397448	-203.456187200049
30.125	0.00785398163397448	-179.366602678838
30.375	0.00785398163397448	-158.129013512435
30.625	0.00785398163397448	-139.405801862378
30.875	0.00785398163397448	-122.899312536655
31.125	0.00785398163397448	-108.347123332965
31.375	0.00785398163397448	-95.5178750681487
31.625	0.00785398163397448	-84.207595073565
31.875	0.00785398163397448	-74.2364557697447
32.125	0.00785398163397448	-65.4459168406699
