$\Phi$_gauss_grad
x	y	$\Phi$_gauss_grad_x	$\Phi$_gauss_grad_y
0.125	0.00785398163397448	11061536543309.8	-741580390934555
0.375	0.00785398163397448	-11034406595238.4	1672121956951.66
0.625	0.00785398163397448	-20499899759.5661	458939828930.493
0.875	0.00785398163397448	-7201192683.74005	-16316264663.8606
1.125	0.00785398163397448	-81518205.5708211	-22137598742.4547
1.375	0.00785398163397448	24277423.6375353	-20099745585.8582
1.625	0.00785398163397448	-7303104.88296364	-20291073281.3805
1.875	0.00785398163397448	1497336.74456161	-20455841452.7541
2.125	0.00785398163397448	16531793.2621122	-20127977417.7017
2.375	0.00785398163397448	28664774.7563137	-19354065861.118
2.625	0.00785398163397448	36719885.342581	-18266000838.1399
2.875	0.00785398163397448	41230517.4148597	-16988224094.7825
3.125	0.00785398163397448	43017545.796769	-15619704288.0878
3.375	0.00785398163397448	42851361.1484125	-14233218690.174
3.625	0.00785398163397448	41367957.9220746	-12879105747.0821
3.875	0.00785398163397448	39058870.5797487	-11589959371.6961
4.125	0.00785398163397448	36286605.6818428	-10385054296.0782
4.375	0.00785398163397448	33308033.2768825	-9274077947.39155
4.625	0.00785398163397448	30298129.8811769	-8260080897.52769
4.875	0.00785398163397448	27370846.9025105	-7341707819.66763
5.125	0.00785398163397448	24596081.0060168	-6514827416.02018
5.375	0.00785398163397448	22012802.9865929	-5773689051.52896
5.625	0.00785398163397448	19638861.6149593	-5111721421.18704
5.875	0.00785398163397448	17478109.0993176	-4522068462.04461
6.125	0.00785398163397448	15525465.9152195	-3997936947.26085
6.375	0.00785398163397448	13770450.1774722	-3532811859.5885
6.625	0.00785398163397448	12199589.7100089	-3120580711.66422
6.875	0.00785398163397448	10798036.1243894	-2755596413.86434
7.125	0.00785398163397448	9550617.80855815	-2432699622.28217
7.375	0.00785398163397448	8442503.93215348	-2147215155.41408
7.625	0.00785398163397448	7459602.50774375	-1894932507.01847
7.875	0.00785398163397448	6588779.3390672	-1672077248.91864
8.125	0.00785398163397448	5817958.46209774	-1475277851.51483
8.375	0.00785398163397448	5136145.95503123	-1301530878.25431
